,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,
161,andaman-&-nicobar-islands,2022,1,744103,157230,399715980.1,"insert into top_trans values (161,'andaman-&-nicobar-islands',2022,1,744103,157230,399715980.139173);"
162,andaman-&-nicobar-islands,2022,1,744105,122716,321850608.7,"insert into top_trans values (162,'andaman-&-nicobar-islands',2022,1,744105,122716,321850608.739642);"
163,andaman-&-nicobar-islands,2022,1,744102,74883,193336549.9,"insert into top_trans values (163,'andaman-&-nicobar-islands',2022,1,744102,74883,193336549.941787);"
164,andaman-&-nicobar-islands,2022,1,744104,32471,72915521.84,"insert into top_trans values (164,'andaman-&-nicobar-islands',2022,1,744104,32471,72915521.8361486);"
165,andaman-&-nicobar-islands,2022,1,744211,30272,86955570.59,"insert into top_trans values (165,'andaman-&-nicobar-islands',2022,1,744211,30272,86955570.5865527);"
166,andaman-&-nicobar-islands,2022,1,744107,25379,58776727.63,"insert into top_trans values (166,'andaman-&-nicobar-islands',2022,1,744107,25379,58776727.6263663);"
167,andaman-&-nicobar-islands,2022,1,744202,24022,68519268.78,"insert into top_trans values (167,'andaman-&-nicobar-islands',2022,1,744202,24022,68519268.7764308);"
168,andaman-&-nicobar-islands,2022,1,744112,23471,55469783.66,"insert into top_trans values (168,'andaman-&-nicobar-islands',2022,1,744112,23471,55469783.6622991);"
169,andaman-&-nicobar-islands,2022,1,744301,17630,56879992.28,"insert into top_trans values (169,'andaman-&-nicobar-islands',2022,1,744301,17630,56879992.2846188);"
170,andaman-&-nicobar-islands,2022,2,744101,252722,702122365.4,"insert into top_trans values (170,'andaman-&-nicobar-islands',2022,2,744101,252722,702122365.362966);"
